Date : 2026-07-15 13:57:20
Directory : c:\Users\Miro\source\repos\Embe.C2C
Total : 532 files,  42903 codes, 273 comments, 8322 blanks, all 51498 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\Embe.C2C.Test                                                                                                                               |          1 |         28 |          0 |          6 |         34 |
| src\embe.c2c.frontend                                                                                                                           |        142 |     15,733 |         29 |      1,107 |     16,869 |
| src\embe.c2c.frontend (Files)                                                                                                                   |          9 |      9,233 |          4 |         27 |      9,264 |
| src\embe.c2c.frontend\fonts                                                                                                                     |          1 |         34 |          0 |          3 |         37 |
| src\embe.c2c.frontend\public                                                                                                                    |          5 |          5 |          0 |          0 |          5 |
| src\embe.c2c.frontend\src                                                                                                                       |        127 |      6,461 |         25 |      1,077 |      7,563 |
| src\embe.c2c.frontend\src (Files)                                                                                                               |          1 |         54 |          0 |          9 |         63 |
| src\embe.c2c.frontend\src\app                                                                                                                   |         18 |        627 |         12 |        130 |        769 |
| src\embe.c2c.frontend\src\app (Files)                                                                                                           |          3 |        337 |         12 |         71 |        420 |
| src\embe.c2c.frontend\src\app\(pages)                                                                                                           |         15 |        290 |          0 |         59 |        349 |
| src\embe.c2c.frontend\src\app\(pages)\protected                                                                                                 |         11 |        238 |          0 |         47 |        285 |
| src\embe.c2c.frontend\src\app\(pages)\protected\discover                                                                                        |          1 |         13 |          0 |          2 |         15 |
| src\embe.c2c.frontend\src\app\(pages)\protected\likes                                                                                           |          1 |         17 |          0 |         11 |         28 |
| src\embe.c2c.frontend\src\app\(pages)\protected\matches                                                                                         |          2 |         55 |          0 |         11 |         66 |
| src\embe.c2c.frontend\src\app\(pages)\protected\matches (Files)                                                                                 |          1 |         20 |          0 |          5 |         25 |
| src\embe.c2c.frontend\src\app\(pages)\protected\matches\[matchId]                                                                               |          1 |         35 |          0 |          6 |         41 |
| src\embe.c2c.frontend\src\app\(pages)\protected\me                                                                                              |          1 |         16 |          0 |          3 |         19 |
| src\embe.c2c.frontend\src\app\(pages)\protected\search                                                                                          |          1 |         28 |          0 |          5 |         33 |
| src\embe.c2c.frontend\src\app\(pages)\protected\search-profile                                                                                  |          3 |         64 |          0 |          7 |         71 |
| src\embe.c2c.frontend\src\app\(pages)\protected\search-profile (Files)                                                                          |          1 |         14 |          0 |          3 |         17 |
| src\embe.c2c.frontend\src\app\(pages)\protected\search-profile\[searchProfileId]                                                                |          1 |         33 |          0 |          1 |         34 |
| src\embe.c2c.frontend\src\app\(pages)\protected\search-profile\new                                                                              |          1 |         17 |          0 |          3 |         20 |
| src\embe.c2c.frontend\src\app\(pages)\protected\settings                                                                                        |          1 |         22 |          0 |          4 |         26 |
| src\embe.c2c.frontend\src\app\(pages)\protected\user                                                                                            |          1 |         23 |          0 |          4 |         27 |
| src\embe.c2c.frontend\src\app\(pages)\protected\user\[userId]                                                                                   |          1 |         23 |          0 |          4 |         27 |
| src\embe.c2c.frontend\src\app\(pages)\public                                                                                                    |          4 |         52 |          0 |         12 |         64 |
| src\embe.c2c.frontend\src\app\(pages)\public (Files)                                                                                            |          1 |         15 |          0 |          0 |         15 |
| src\embe.c2c.frontend\src\app\(pages)\public\(auth)                                                                                             |          3 |         37 |          0 |         12 |         49 |
| src\embe.c2c.frontend\src\app\(pages)\public\(auth) (Files)                                                                                     |          1 |         15 |          0 |          4 |         19 |
| src\embe.c2c.frontend\src\app\(pages)\public\(auth)\login                                                                                       |          1 |         11 |          0 |          4 |         15 |
| src\embe.c2c.frontend\src\app\(pages)\public\(auth)\register                                                                                    |          1 |         11 |          0 |          4 |         15 |
| src\embe.c2c.frontend\src\features                                                                                                              |         45 |      3,109 |          3 |        506 |      3,618 |
| src\embe.c2c.frontend\src\features\auth                                                                                                         |         12 |        677 |          0 |        111 |        788 |
| src\embe.c2c.frontend\src\features\auth\actions                                                                                                 |          8 |        110 |          0 |         25 |        135 |
| src\embe.c2c.frontend\src\features\auth\actions (Files)                                                                                         |          1 |         16 |          0 |          4 |         20 |
| src\embe.c2c.frontend\src\features\auth\actions\account-exists                                                                                  |          1 |         17 |          0 |          5 |         22 |
| src\embe.c2c.frontend\src\features\auth\actions\register                                                                                        |          2 |         35 |          0 |          7 |         42 |
| src\embe.c2c.frontend\src\features\auth\actions\sign-in                                                                                         |          2 |         26 |          0 |          5 |         31 |
| src\embe.c2c.frontend\src\features\auth\actions\sign-out                                                                                        |          2 |         16 |          0 |          4 |         20 |
| src\embe.c2c.frontend\src\features\auth\components                                                                                              |          4 |        567 |          0 |         86 |        653 |
| src\embe.c2c.frontend\src\features\likes                                                                                                        |          3 |         78 |          0 |         21 |         99 |
| src\embe.c2c.frontend\src\features\likes (Files)                                                                                                |          2 |         24 |          0 |          5 |         29 |
| src\embe.c2c.frontend\src\features\likes\components                                                                                             |          1 |         54 |          0 |         16 |         70 |
| src\embe.c2c.frontend\src\features\matches                                                                                                      |          9 |        841 |          2 |        150 |        993 |
| src\embe.c2c.frontend\src\features\matches\actions                                                                                              |          1 |        125 |          0 |         10 |        135 |
| src\embe.c2c.frontend\src\features\matches\components                                                                                           |          8 |        716 |          2 |        140 |        858 |
| src\embe.c2c.frontend\src\features\me                                                                                                           |          4 |        421 |          1 |         66 |        488 |
| src\embe.c2c.frontend\src\features\me\actions                                                                                                   |          2 |         35 |          0 |          8 |         43 |
| src\embe.c2c.frontend\src\features\me\components                                                                                                |          2 |        386 |          1 |         58 |        445 |
| src\embe.c2c.frontend\src\features\notifications                                                                                                |          7 |        266 |          0 |         47 |        313 |
| src\embe.c2c.frontend\src\features\notifications (Files)                                                                                        |          1 |         25 |          0 |          4 |         29 |
| src\embe.c2c.frontend\src\features\notifications\actions                                                                                        |          2 |         50 |          0 |          9 |         59 |
| src\embe.c2c.frontend\src\features\notifications\components                                                                                     |          4 |        191 |          0 |         34 |        225 |
| src\embe.c2c.frontend\src\features\notifications\components\notification                                                                        |          1 |         82 |          0 |         13 |         95 |
| src\embe.c2c.frontend\src\features\notifications\components\notifications-menu                                                                  |          2 |         41 |          0 |         10 |         51 |
| src\embe.c2c.frontend\src\features\notifications\components\notifications-modal                                                                 |          1 |         68 |          0 |         11 |         79 |
| src\embe.c2c.frontend\src\features\search                                                                                                       |          7 |        409 |          0 |         48 |        457 |
| src\embe.c2c.frontend\src\features\search-profiles                                                                                              |          3 |        417 |          0 |         63 |        480 |
| src\embe.c2c.frontend\src\features\search-profiles (Files)                                                                                      |          2 |         75 |          0 |          6 |         81 |
| src\embe.c2c.frontend\src\features\search-profiles\components                                                                                   |          1 |        342 |          0 |         57 |        399 |
| src\embe.c2c.frontend\src\features\search\actions                                                                                               |          2 |         54 |          0 |         11 |         65 |
| src\embe.c2c.frontend\src\features\search\components                                                                                            |          5 |        355 |          0 |         37 |        392 |
| src\embe.c2c.frontend\src\shared                                                                                                                |         63 |      2,671 |         10 |        432 |      3,113 |
| src\embe.c2c.frontend\src\shared (Files)                                                                                                        |          8 |        296 |          3 |         57 |        356 |
| src\embe.c2c.frontend\src\shared\actions                                                                                                        |          5 |        106 |          0 |         14 |        120 |
| src\embe.c2c.frontend\src\shared\actions (Files)                                                                                                |          1 |         10 |          0 |          3 |         13 |
| src\embe.c2c.frontend\src\shared\actions\geography                                                                                              |          2 |         63 |          0 |          8 |         71 |
| src\embe.c2c.frontend\src\shared\actions\user                                                                                                   |          2 |         33 |          0 |          3 |         36 |
| src\embe.c2c.frontend\src\shared\apis                                                                                                           |          2 |        106 |          0 |         32 |        138 |
| src\embe.c2c.frontend\src\shared\components                                                                                                     |         38 |      1,775 |          7 |        270 |      2,052 |
| src\embe.c2c.frontend\src\shared\components\Links                                                                                               |          1 |         19 |          0 |          4 |         23 |
| src\embe.c2c.frontend\src\shared\components\buttons                                                                                             |          1 |         40 |          0 |          7 |         47 |
| src\embe.c2c.frontend\src\shared\components\footer                                                                                              |          2 |         16 |          0 |          6 |         22 |
| src\embe.c2c.frontend\src\shared\components\header                                                                                              |          1 |         10 |          0 |          4 |         14 |
| src\embe.c2c.frontend\src\shared\components\icons                                                                                               |          2 |         28 |          0 |          2 |         30 |
| src\embe.c2c.frontend\src\shared\components\images                                                                                              |          3 |        112 |          0 |         13 |        125 |
| src\embe.c2c.frontend\src\shared\components\infos                                                                                               |          4 |        121 |          0 |         14 |        135 |
| src\embe.c2c.frontend\src\shared\components\inputs                                                                                              |         13 |        927 |          7 |        134 |      1,068 |
| src\embe.c2c.frontend\src\shared\components\inputs (Files)                                                                                      |          1 |         13 |          0 |          0 |         13 |
| src\embe.c2c.frontend\src\shared\components\inputs\checkbox-input                                                                               |          1 |         26 |          0 |          5 |         31 |
| src\embe.c2c.frontend\src\shared\components\inputs\date-input                                                                                   |          1 |         42 |          0 |          8 |         50 |
| src\embe.c2c.frontend\src\shared\components\inputs\dropdown-input                                                                               |          1 |         39 |          0 |          2 |         41 |
| src\embe.c2c.frontend\src\shared\components\inputs\dual-range-input                                                                             |          1 |         46 |          0 |          5 |         51 |
| src\embe.c2c.frontend\src\shared\components\inputs\email-input                                                                                  |          1 |         33 |          0 |          4 |         37 |
| src\embe.c2c.frontend\src\shared\components\inputs\image                                                                                        |          1 |        119 |          0 |         15 |        134 |
| src\embe.c2c.frontend\src\shared\components\inputs\image\gallery                                                                                |          1 |        119 |          0 |         15 |        134 |
| src\embe.c2c.frontend\src\shared\components\inputs\location-input                                                                               |          1 |        366 |          7 |         71 |        444 |
| src\embe.c2c.frontend\src\shared\components\inputs\select-input                                                                                 |          1 |         81 |          0 |          6 |         87 |
| src\embe.c2c.frontend\src\shared\components\inputs\single-range-input                                                                           |          1 |         64 |          0 |          7 |         71 |
| src\embe.c2c.frontend\src\shared\components\inputs\text-area-input                                                                              |          2 |         50 |          0 |          6 |         56 |
| src\embe.c2c.frontend\src\shared\components\inputs\text-input                                                                                   |          1 |         48 |          0 |          5 |         53 |
| src\embe.c2c.frontend\src\shared\components\modal                                                                                               |          4 |        115 |          0 |         22 |        137 |
| src\embe.c2c.frontend\src\shared\components\nav                                                                                                 |          3 |         81 |          0 |         10 |         91 |
| src\embe.c2c.frontend\src\shared\components\progress-bar                                                                                        |          1 |         49 |          0 |          3 |         52 |
| src\embe.c2c.frontend\src\shared\components\scroll                                                                                              |          1 |        138 |          0 |         42 |        180 |
| src\embe.c2c.frontend\src\shared\components\scroll\infinite-scroll                                                                              |          1 |        138 |          0 |         42 |        180 |
| src\embe.c2c.frontend\src\shared\components\surfaces                                                                                            |          1 |         40 |          0 |          5 |         45 |
| src\embe.c2c.frontend\src\shared\components\user                                                                                                |          1 |         79 |          0 |          4 |         83 |
| src\embe.c2c.frontend\src\shared\security                                                                                                       |          3 |         82 |          0 |         18 |        100 |
| src\embe.c2c.frontend\src\shared\stores                                                                                                         |          1 |         12 |          0 |          2 |         14 |
| src\embe.c2c.frontend\src\shared\types                                                                                                          |          6 |        294 |          0 |         39 |        333 |
| src\embe.c2c.frontend\src\shared\types (Files)                                                                                                  |          1 |          4 |          0 |          0 |          4 |
| src\embe.c2c.frontend\src\shared\types\application                                                                                              |          1 |         13 |          0 |          2 |         15 |
| src\embe.c2c.frontend\src\shared\types\domain                                                                                                   |          3 |        264 |          0 |         35 |        299 |
| src\embe.c2c.frontend\src\shared\types\dtos                                                                                                     |          1 |         13 |          0 |          2 |         15 |
+-------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                        | language           | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\Miro\source\repos\Embe.C2C\.github\workflows\main_relationshipfinder-api.yml                                                           | YAML               |         45 |          2 |         12 |         59 |
| c:\Users\Miro\source\repos\Embe.C2C\.github\workflows\main_relationshipfinder.yml                                                               | YAML               |         33 |          2 |          9 |         44 |
| c:\Users\Miro\source\repos\Embe.C2C\data\ADM.json                                                                                               | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\Miro\source\repos\Embe.C2C\data\scripts\LoadADMFileToDb.sql                                                                            | MS SQL             |         26 |          0 |          1 |         27 |
| c:\Users\Miro\source\repos\Embe.C2C\data\scripts\gadm_add_centroid.py                                                                           | Python             |         27 |         53 |         11 |         91 |
| c:\Users\Miro\source\repos\Embe.C2C\package-lock.json                                                                                           | JSON               |        756 |          0 |          1 |        757 |
| c:\Users\Miro\source\repos\Embe.C2C\package.json                                                                                                | JSON               |          5 |          0 |          1 |          6 |
| c:\Users\Miro\source\repos\Embe.C2C\settings.json                                                                                               | JSON with Comments |         12 |          0 |          1 |         13 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\Embe.C2C.Api.csproj                                                                        | XML                |         20 |          0 |          5 |         25 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\EndPoints\AuthEndPoints.cs                                                                 | C#                 |         45 |          0 |          7 |         52 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\EndPoints\GeographyEndPoints.cs                                                            | C#                 |         49 |          0 |          7 |         56 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\EndPoints\JudgementEndPoints.cs                                                            | C#                 |         29 |          0 |          7 |         36 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\EndPoints\MatchingEndPoints.cs                                                             | C#                 |         35 |          0 |          6 |         41 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\EndPoints\MessageEndPoints.cs                                                              | C#                 |         85 |          0 |          8 |         93 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\EndPoints\NotificationEndPoints.cs                                                         | C#                 |         53 |          0 |          8 |         61 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\EndPoints\SearchProfileEndPoints.cs                                                        | C#                 |         73 |          0 |          8 |         81 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\EndPoints\SignalREndPoints.cs                                                              | C#                 |         26 |          0 |          3 |         29 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\EndPoints\UserEndPoints.cs                                                                 | C#                 |         64 |          0 |         11 |         75 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\Extensions\FailureReasonExtensions.cs                                                      | C#                 |         79 |          0 |          8 |         87 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\Extensions\ResultExtensions.cs                                                             | C#                 |         45 |          0 |          4 |         49 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\OpenApi\OpenApiConfiguration.cs                                                            | C#                 |         12 |          0 |          2 |         14 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\OpenApi\OpenApiDocumentTransformer.cs                                                      | C#                 |         15 |          0 |          6 |         21 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\OpenApi\OpenApiEndpointExtensions.cs                                                       | C#                 |         11 |          0 |          1 |         12 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\Program.cs                                                                                 | C#                 |        120 |          0 |         19 |        139 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\Properties\launchSettings.json                                                             | JSON               |         23 |          0 |          1 |         24 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\appsettings.Development.json                                                               | JSON               |         29 |          0 |          0 |         29 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Api\appsettings.json                                                                           | JSON               |          9 |          0 |          1 |         10 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Abstractions\Entities\IAdminArea.cs                                                | C#                 |         12 |          0 |          1 |         13 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Abstractions\Repos\Repository.cs                                                   | C#                 |        111 |          0 |         14 |        125 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Abstractions\Result.cs                                                             | C#                 |         58 |          0 |         14 |         72 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Abstractions\Services\AuthServices\AuthService.cs                                  | C#                 |         49 |          0 |         10 |         59 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Abstractions\Services\AuthServices\Credentials.cs                                  | C#                 |          4 |          0 |          1 |          5 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Abstractions\Services\AuthenticatedUserService.cs                                  | C#                 |          5 |          0 |          1 |          6 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Abstractions\Services\ContentSafetyService.cs                                      | C#                 |          5 |          6 |          1 |         12 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Abstractions\Services\FileService.cs                                               | C#                 |         35 |          0 |          6 |         41 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Abstractions\Services\NotificationService.cs                                       | C#                 |          5 |          0 |          1 |          6 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Abstractions\Services\WorkItemServices\IWorkItemService.cs                         | C#                 |          9 |          0 |          3 |         12 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Abstractions\Services\WorkItemServices\WorkItems\DeleteFile.cs                     | C#                 |          2 |          0 |          1 |          3 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Abstractions\Services\WorkItemServices\WorkItems\MoveImage.cs                      | C#                 |          2 |          0 |          1 |          3 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactGenerators\AuthorizationFactGenerator.cs                        | C#                 |          6 |          0 |          2 |          8 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactGenerators\JudgementAuthorizationFactGenerator.cs               | C#                 |         35 |          0 |          4 |         39 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactGenerators\MatchingFactGenerator.cs                             | C#                 |         27 |          0 |          5 |         32 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactGenerators\MessageFactGenerator.cs                              | C#                 |         91 |          0 |         13 |        104 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactGenerators\SearchProfileFactGenerator.cs                        | C#                 |         36 |          0 |          6 |         42 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactGenerators\UserFactGenerator.cs                                 | C#                 |         73 |          0 |          8 |         81 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\AuthorizationFact.cs                                     | C#                 |          2 |          0 |          2 |          4 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\AuthorizationFactStore.cs                                | C#                 |         27 |          0 |          5 |         32 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\Conversations\ConversationAuthorizationFactStore.cs      | C#                 |         35 |          0 |          4 |         39 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\Conversations\Facts\IsParticipantConversationFact.cs     | C#                 |          2 |          0 |          1 |          3 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\Judgements\Facts\IsJudgementJudge.cs                     | C#                 |          2 |          0 |          1 |          3 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\Judgements\Facts\IsJudgementJudgee.cs                    | C#                 |          2 |          0 |          2 |          4 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\Judgements\Facts\IsPositivelyJudgedJudgee.cs             | C#                 |          2 |          0 |          1 |          3 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\Judgements\JudgementAuthorizationFactStore.cs            | C#                 |         56 |          0 |         10 |         66 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\Matches\Facts\IsParticipantMatchFact.cs                  | C#                 |          2 |          0 |          1 |          3 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\Matches\MatchingAuthorizationFactStore.cs                | C#                 |         23 |          0 |          4 |         27 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\Messages\Facts\AuthorMessageFact.cs                      | C#                 |          2 |          0 |          1 |          3 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\Messages\Facts\RecipientMessageFact.cs                   | C#                 |          2 |          0 |          1 |          3 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\Messages\MessageAuthorizationFactStore.cs                | C#                 |         64 |          0 |          7 |         71 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\SearchProfiles\Facts\IsCandidateForUserFact.cs           | C#                 |          2 |          1 |          2 |          5 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\SearchProfiles\Facts\IsMatchedFact.cs                    | C#                 |          2 |          0 |          1 |          3 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\SearchProfiles\Facts\IsOwnerFact.cs                      | C#                 |          2 |          0 |          1 |          3 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\SearchProfiles\SearchProfileAuthorizationFactStore.cs    | C#                 |         59 |          0 |         12 |         71 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\Users\Facts\BlockedByUserFact.cs                         | C#                 |          2 |          0 |          1 |          3 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\Users\Facts\BlockingUserFact.cs                          | C#                 |          2 |          0 |          2 |          4 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\Users\Facts\CandidateUserFact.cs                         | C#                 |          2 |          0 |          1 |          3 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\Users\Facts\IsPositivelyJudgedByUser.cs                  | C#                 |          2 |          0 |          1 |          3 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\Users\Facts\MatchedUserFact.cs                           | C#                 |          4 |          0 |          0 |          4 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\Users\Facts\SameUserFact.cs                              | C#                 |          2 |          0 |          1 |          3 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\Users\UserAuthorizationFactStore.cs                      | C#                 |         80 |          0 |         19 |         99 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\JudgementAuthorizationService.cs                                    | C#                 |         65 |         21 |         11 |         97 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\MatchingAuthorizationService.cs                                     | C#                 |         73 |         41 |         10 |        124 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\MessageAuthorizationService.cs                                      | C#                 |         81 |         18 |          9 |        108 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\SearchProfileAuthorizationService.cs                                | C#                 |         81 |          0 |         16 |         97 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\UserAuthorizationService.cs                                         | C#                 |        108 |         21 |         19 |        148 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Auth\Handlers\RefreshHandler.cs                                           | C#                 |         31 |          0 |          4 |         35 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Auth\Handlers\SignInHandler.cs                                            | C#                 |         22 |          0 |          3 |         25 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Auth\Handlers\SignOutHandler.cs                                           | C#                 |         32 |          0 |          4 |         36 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Auth\RefreshCommand.cs                                                    | C#                 |          2 |          0 |          1 |          3 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Auth\SignInCommand.cs                                                     | C#                 |          2 |          0 |          2 |          4 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Auth\SignOutCommand.cs                                                    | C#                 |          2 |          0 |          1 |          3 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\CommandHandler.cs                                                         | C#                 |         48 |          0 |          8 |         56 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Images\Handlers\ProcessUploadedImageHandler.cs                            | C#                 |         50 |          0 |          6 |         56 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Images\ProcessUploadedImageCommand.cs                                     | C#                 |          6 |          0 |          1 |          7 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Judgements\Handlers\JudgeHandler.cs                                       | C#                 |        155 |          0 |         14 |        169 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Judgements\JudgeCommand.cs                                                | C#                 |          2 |          0 |          1 |          3 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Matching\Handlers\UnmatchHandler.cs                                       | C#                 |         49 |          0 |          7 |         56 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Matching\UnmatchCommand.cs                                                | C#                 |          2 |          0 |          1 |          3 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Messages\CreateMessageCommand.cs                                          | C#                 |          2 |          0 |          1 |          3 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Messages\DeleteMessageCommand.cs                                          | C#                 |          2 |          0 |          1 |          3 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Messages\EditMessageCommand.cs                                            | C#                 |          2 |          0 |          1 |          3 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Messages\Handlers\CreateMessageHandler.cs                                 | C#                 |         87 |          0 |         13 |        100 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Messages\Handlers\DeleteMessageHandler.cs                                 | C#                 |         74 |          0 |         11 |         85 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Messages\Handlers\EditMessageHandler.cs                                   | C#                 |         76 |          0 |         10 |         86 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Messages\Handlers\MarkMessagesAsSeenHandler.cs                            | C#                 |         42 |          0 |          5 |         47 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Messages\MarkMessagesAsSeenCommand.cs                                     | C#                 |          2 |          0 |          1 |          3 |
| c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Notifications\DeleteCommand.cs                                            | C#                 |          2 |          0 |          1 |          3 |
